ts,Tipo,DOW_name,ROI,score_oos,score_all,score_source
2025-08-27 00:07:00,FH,Ter,0.97,0.4013087097872019,0.4217880422879214,global_fallback
2025-08-27 09:21:00,FT,Qua,0.98,0.41141936796930373,0.42108021513887783,global_fallback
2025-08-27 09:21:00,FT,Qua,0.98,0.41141936796930373,0.42108021513887783,global_fallback
2025-08-27 09:28:00,FT,Qua,-1.0,0.4388398680319346,0.4465877741268563,global_fallback
2025-08-27 09:38:00,FT,Qua,0.8999999999999999,0.4122604973043862,0.424581536639131,global_fallback
2025-08-27 09:39:00,FH,Qua,0.78,0.4000944151968978,0.4042576350283209,global_fallback
2025-08-27 09:55:00,FT,Qua,-1.0,0.4112160305820926,0.4206010501449103,global_fallback
2025-08-27 10:26:00,FT,Qua,-1.0,0.4161203891092936,0.42547642164861027,global_fallback
2025-08-27 11:08:00,FT,Qua,0.819,0.41487125099851846,0.4244542827541377,global_fallback
2025-08-28 09:49:00,FT,Qui,0.98,0.40936319654048,0.4154332361206858,global_fallback
2025-08-28 09:54:00,FT,Qui,0.9199999999999999,0.4086870437667154,0.4166327793104303,global_fallback
2025-08-28 11:30:00,FT,Qui,1.009,0.39154207539855457,0.39129478227001985,global_fallback
2025-08-28 11:32:00,FT,Qui,-1.0,0.3950889030525436,0.4129777124948029,global_fallback
2025-08-28 11:39:00,FT,Qui,1.1760000000000002,0.4132566806196201,0.4168358789380305,global_fallback
2025-08-28 11:58:00,FT,Qui,-1.0,0.4118798782429545,0.4160270249814768,global_fallback
2025-08-28 11:58:00,FT,Qui,-1.0,0.4118798782429545,0.4160270249814768,global_fallback
2025-08-28 12:00:00,FT,Qui,0.8999999999999999,0.4084903741503892,0.4149437700200075,global_fallback
2025-08-28 16:15:00,FH,Qui,-0.5,0.4089445160630513,0.42173330853339763,global_fallback
2025-08-28 16:31:00,FH,Qui,0.0,0.36597847413013657,0.3867666242443552,global_fallback
2025-08-28 16:33:00,FH,Qui,-1.0,0.38004980577164166,0.40754497246692073,global_fallback
2025-08-28 16:35:00,FH,Qui,1.0299999999999998,0.3802375393977908,0.4076564944711491,global_fallback
2025-08-28 18:33:00,FH,Qui,0.0,0.3684980913446233,0.3819169214733846,global_fallback
2025-08-28 21:36:00,FH,Qui,0.95,0.41341658588348607,0.42234395032058863,global_fallback
2025-08-28 21:39:00,FH,Qui,0.95,0.37976398175409737,0.40613977283094344,global_fallback
2025-08-28 21:46:00,FH,Qui,1.0979999999999999,0.37210020739903893,0.3879363102958434,global_fallback
2025-08-29 09:30:00,FT,Sex,1.234,0.4089446784044964,0.41875515997751167,global_fallback
2025-08-29 09:34:00,FT,Sex,-0.5,0.4001119937739773,0.41314905021324955,global_fallback
2025-08-29 09:35:00,FH,Sex,0.0,0.3934887724089217,0.40009013159627166,global_fallback
2025-08-29 09:39:00,FT,Sex,-1.0,0.37887479553641207,0.3929737573825079,global_fallback
2025-08-29 09:40:00,FH,Sex,0.0,0.38670564907347127,0.4130221200172376,global_fallback
2025-08-29 10:21:00,FH,Sex,-1.0,0.3988963963706463,0.4180647274220041,global_fallback
2025-08-29 10:22:00,FT,Sex,-1.0,0.3926413376519381,0.4115187615081978,global_fallback
2025-08-29 10:24:00,FT,Sex,-1.0,0.38272313345898956,0.40995444764461664,global_fallback
