thr,Tipo,DOW,oos_n,oos_meanROI,oos_p,dec_bets,dec_stake_sum,dec_profit_exp,dec_max_stake
0.4,FT,Qua,91,-0.0015824175824175764,0.5063647352877327,58,14390.0,-22.770989010988924,1667.0
0.4,FT,Sex,50,-0.03475000000000002,0.6060583389761571,18,13410.0,-465.99750000000023,6138.0
0.4,FT,Sáb,140,0.0030357142857142653,0.48414411864843415,49,93308.0,283.2564285714267,37500.0
0.4,FT,Dom,44,-0.28515909090909086,0.9838198664382632,13,38679.0,-11029.668477272726,15000.0
0.4,FH,Ter,53,0.2726603773584905,0.005957105223023495,32,3734.0,1018.1138490566036,278.0
0.4,FH,Qua,28,-0.04803571428571428,0.606407881545661,15,2552.0,-122.58714285714284,435.0
0.4,FH,Sex,26,-0.16815384615384615,0.8711100573239603,9,1834.0,-308.39415384615387,315.0
0.4,FH,Sáb,107,0.11853271028037381,0.07564178486100724,34,6847.0,811.5934672897195,750.0
0.45,FT,Seg,25,0.40068,0.03173229769866653,13,2568.0,1028.94624,500.0
0.45,FT,Ter,84,0.1939047619047619,0.02608208226687508,46,14720.0,2854.2780952380954,2996.0
0.45,FT,Qua,79,0.034468354430379745,0.37376494969665397,53,12846.0,442.7804810126582,1667.0
0.45,FT,Sex,34,-0.015485294117647071,0.538056198931681,12,11227.0,-173.85339705882367,6138.0
0.45,FT,Sáb,110,0.051200000000000016,0.275923755522819,42,91306.0,4674.8672000000015,37500.0
0.45,FT,Dom,33,-0.25172727272727274,0.9473390433365154,11,34843.0,-8770.933363636364,15000.0
0.45,FH,Ter,46,0.3274130434782609,0.0019888243333471647,28,3234.0,1058.8537826086956,278.0
0.45,FH,Qua,25,-0.04539999999999999,0.6015193871968313,13,2090.0,-94.88599999999998,435.0
0.45,FH,Sáb,51,0.05450980392156863,0.32972353778419494,17,3511.0,191.38392156862747,641.0
0.5,FT,Seg,24,0.4590416666666666,0.017905800856314966,12,2195.0,1007.5964583333332,500.0
0.5,FT,Ter,79,0.17111392405063292,0.0480866063717484,43,13849.0,2369.756734177215,2996.0
0.5,FT,Qua,68,0.057860294117647044,0.3104362951094347,48,12110.0,700.6881617647057,1667.0
0.5,FT,Sex,29,0.018396551724137948,0.45789475001443675,8,10026.0,184.44382758620708,6138.0
0.5,FT,Sáb,73,0.12735616438356165,0.11909254700392083,31,87398.0,11130.674054794521,37500.0
0.5,FT,Dom,27,-0.2347037037037037,0.9086637456273806,9,33160.0,-7782.774814814815,15000.0
0.5,FH,Ter,44,0.3059545454545454,0.004408041044615121,26,2911.0,890.6336818181817,278.0
0.5,FH,Sáb,37,0.016081081081081073,0.4560138204378731,14,2991.0,48.09851351351349,641.0
0.55,FT,Ter,74,0.1663243243243243,0.0597056554401923,40,13163.0,2189.327081081081,2996.0
0.55,FT,Qua,64,0.031164062500000006,0.3979410342570382,45,11648.0,362.9990000000001,1667.0
0.55,FT,Sex,23,-0.11797826086956521,0.7297879226148076,6,3405.0,-401.7159782608696,1381.0
0.55,FT,Sáb,55,0.11227272727272729,0.18820347988466202,25,84753.0,9515.450454545457,37500.0
0.55,FT,Dom,27,-0.2347037037037037,0.9086637456273806,9,33160.0,-7782.774814814815,15000.0
0.55,FH,Ter,36,0.2917222222222222,0.011559236225505145,20,2445.0,713.2608333333333,278.0
0.55,FH,Sáb,31,0.04045161290322582,0.39856391855894757,13,2824.0,114.23535483870971,641.0
0.6,FT,Ter,69,0.14442028985507246,0.09508034789089549,38,12932.0,1867.6431884057972,2996.0
0.6,FT,Qua,57,0.05648245614035089,0.33110571428555313,40,11242.0,634.9757719298248,1667.0
0.6,FT,Sáb,48,0.059374999999999976,0.3272612654466225,21,83173.0,4938.396874999998,37500.0
0.6,FT,Dom,25,-0.21348,0.8732424796072328,9,33160.0,-7078.9968,15000.0
0.6,FH,Ter,33,0.30278787878787883,0.013005651959417639,18,2198.0,665.5277575757576,278.0
