DOW,Tipo,thr_cal,n,meanROI,sdROI,p,octdec_bets,octdec_stake,octdec_profit_exp,octdec_profit_real
Sex,FT,0.375,58,-0.012025862068965514,0.891356626319865,0.540919013071,46,9561.0,-114.97926724137928,-835.568
Sáb,FH,0.35,324,0.004239197530864195,0.8178757015559509,0.46283370751479347,298,52289.0,221.66339969135788,542.411
Sáb,FH,0.375,67,-0.014111940298507463,0.8061380193359605,0.5569692729586849,63,12546.0,-177.04840298507463,204.89799999999974
Sáb,FH,0.3998,65,-0.030900000000000018,0.8073100840909891,0.6211813752678033,61,12375.0,-382.3875000000002,116.66900000000004
Sáb,FT,0.3381,590,-0.04773389830508476,0.9123785378351821,0.8981004301345037,522,121726.0,-5810.456505084748,-5787.886
Sáb,FT,0.35,384,-0.027803385416666663,0.8962223866502982,0.7283802309520484,342,88584.0,-2462.93509375,-894.4135000000003
Sáb,FT,0.375,116,0.029163793103448268,0.8939810516809725,0.3626614584891996,107,26958.0,786.1975344827584,1350.4389999999999
Ter,FH,0.4536,77,0.1116948051948052,0.857128077068401,0.12641746828078415,76,9845.0,1099.6353571428572,545.0959999999998
Ter,FH,0.4809,66,0.12182575757575755,0.8577654354480699,0.1242845438912542,65,8371.0,1019.8034166666664,539.4959999999999
Ter,FH,0.4956,61,0.10656557377049179,0.8735016765649329,0.17033661611669948,60,7789.0,830.0392540983605,479.05599999999987
Ter,FH,0.581,55,0.17328181818181818,0.8647487098254504,0.06862797234209816,54,6994.0,1211.9330363636363,662.036
Ter,FH,0.7697,50,0.17005000000000003,0.8975234193408584,0.09016728941124019,49,6448.0,1096.4824000000003,470.2839999999998
Ter,FH,0.867,45,0.13690000000000002,0.9066514289606363,0.15555241360091054,44,5313.0,727.3497000000001,78.77399999999999
Ter,FH,0.9146,40,0.08576249999999999,0.8844265706174269,0.26984241273862186,39,4861.0,416.8915125,-205.86600000000004
Ter,FH,0.9581,34,0.09048529411764707,0.8945689370364459,0.2776628817306388,33,4275.0,386.8246323529412,-231.35100000000014
Ter,FT,0.4427,147,0.08629251700680271,0.8987922658408906,0.1222014173386301,142,27666.0,2387.3687755102037,875.3910000000003
Ter,FT,0.446,132,0.09996212121212121,0.9078434341032164,0.10292472846787004,127,24729.0,2471.9632954545455,786.6709999999998
Ter,FT,0.4551,122,0.08498360655737706,0.9107267371784353,0.15134370681670561,117,22733.0,1931.9323278688528,253.31199999999978
Ter,FT,0.4909,121,0.09395041322314052,0.9090896898476672,0.12781063292746853,116,22433.0,2107.5896198347114,553.312
Ter,FT,0.6193,103,0.1009514563106796,0.9019843198785008,0.12800352613196586,98,19652.0,1983.8980194174756,1141.2519999999997
Ter,FT,0.864,93,0.014462365591397852,0.8921988903721522,0.43788974582344253,88,18246.0,263.8803225806452,-278.8370000000001
Ter,FT,0.9169,83,0.01785542168674699,0.8971704997777548,0.42806009463583583,78,17003.0,303.59573493975904,116.92399999999981
Ter,FT,0.9943,73,0.039191780821917814,0.9042140180770604,0.3555694879936575,68,15602.0,611.4701643835617,366.5769999999999
