cap_Seg,cap_Ter,cap_Qua,cap_Sab,bank_min,mean_profit,sd_profit,p_neg,mean_stake,mean_roi_turn,sharpe_ann_bank,sharpe_ann_turn
200,200,500,300,10000.0,2728.540674266666,1991.5453546239526,0.07693333333333334,49719.80726666666,0.057422524403627266,4.746034095960095,4.557521737169292
200,200,500,400,10000.0,2971.5385410000004,2223.4470727466946,0.0821,52641.89826666666,0.058946871207186606,4.629618390963558,4.499951214599265
200,200,500,500,10000.0,3165.7554806666667,2464.398389900845,0.09066666666666667,54965.8952,0.06008708794299828,4.449969906915024,4.3639065948490385
200,200,500,700,14000.0,3290.731154433333,2842.431694792068,0.11853333333333334,58119.57913333333,0.059218502553083814,4.010448915251959,3.984550238688551
200,200,500,1000,20000.0,3135.317139233333,3100.0444495593592,0.1564,60702.927,0.054690870836113514,3.50351659232856,3.5050295436230985
200,200,700,200,14000.0,2803.4522465333334,1925.281615528173,0.06276666666666667,47205.0485,0.06192794967828598,5.044167760628355,4.781581699403548
200,200,700,300,14000.0,2994.7389958666663,2121.294469609294,0.06863333333333334,51703.021,0.06051395218928897,4.890447951060969,4.69093475986998
200,200,700,400,14000.0,3237.7368625999998,2334.1537946896037,0.0726,54625.112,0.06179067777966354,4.805103040185572,4.656828212664061
200,200,700,500,14000.0,3431.953802266666,2558.627363563399,0.07816666666666666,56949.10893333334,0.06275032666959897,4.6464900980941675,4.539346472270889
200,200,700,700,14000.0,3556.929476033333,2911.35365663914,0.1029,60102.79286666666,0.0617369208915235,4.232246094444651,4.183347833186078
200,200,700,1000,20000.0,3401.515460833333,3142.879923400091,0.13736666666666666,62686.14073333333,0.05720439907082682,3.7491712979735063,3.7237208378025017
200,200,1000,200,20000.0,2699.2754152,2237.9020055190244,0.11256666666666666,48826.90263333333,0.05845124617375872,4.1782724634215285,4.015566907482469
200,200,1000,300,20000.0,2890.5621645333335,2388.126369942711,0.10796666666666667,53324.875133333335,0.057294848248489065,4.192910889827078,4.05272003890155
200,200,1000,400,20000.0,3133.560031266667,2555.1765881028095,0.102,56246.966133333335,0.058656834576399204,4.248227075961772,4.122952547517842
200,200,1000,500,20000.0,3327.776970933333,2740.3453933990922,0.10293333333333334,58570.96306666666,0.059675546938275266,4.206680518301194,4.100109895285719
200,200,1000,700,20000.0,3452.7526446999996,3046.784801987965,0.12033333333333333,61724.647,0.05878715497400112,3.925674699890954,3.8617553796683217
200,200,1000,1000,20000.0,3297.3386294999996,3238.499061017872,0.15053333333333332,64307.99486666667,0.05442971348462837,3.5270401062018473,3.486218762569134
300,200,200,200,6000.0,2188.6990773999996,1630.652944369497,0.08326666666666667,40511.4985,0.05712481443140508,4.649595142394592,4.40795975284074
300,200,200,300,6000.0,2379.985826733333,1819.9263439569866,0.09236666666666667,45009.471,0.056303935310281515,4.530135394637026,4.341531273029817
300,200,200,400,8000.0,2622.983693466667,2046.5633195993044,0.0984,47931.562,0.05813908875931434,4.439775677596367,4.304748651591328
300,200,200,500,10000.0,2817.2006331333328,2287.838712213902,0.10793333333333334,50255.558933333334,0.05950648767550894,4.265628171821867,4.173549781964378
300,200,200,700,14000.0,2942.1763068999994,2690.865206933278,0.13646666666666665,53409.24286666667,0.05868480465134509,3.787628481163473,3.7680008043827677
