ts,DOW_name,Tipo,score_raw,score_cal,StakeMax_USD,ROI
2025-09-05 09:24:00,Sex,FT,0.2969658534327216,0.09433962264150944,200.0,1.4
2025-09-05 09:30:00,Sex,FH,0.3614315742568105,0.35,108.0,-1.0
2025-09-05 09:44:00,Sex,FT,0.2745765463149533,0.09433962264150944,25.0,1.1389999999999998
2025-09-05 10:00:00,Sex,FH,0.5714298436708016,0.375,126.0,-0.5
2025-09-05 10:02:00,Sex,FH,0.331165235717316,0.34442129665475246,108.0,0.0
2025-09-05 10:04:00,Sex,FT,0.2017391821662591,0.09433962264150944,207.0,-1.0
2025-09-05 10:05:00,Sex,FT,0.1522860199561684,0.0,50.0,1.2799999999999998
2025-09-05 10:06:00,Sex,FT,0.2420766076362376,0.09433962264150944,50.0,-1.0
2025-09-05 10:46:00,Sex,FT,0.3964809000795884,0.35,75.0,-1.0
2025-09-05 10:47:00,Sex,FT,0.1955038704984645,0.09433962264150944,631.0,1.0299999999999998
2025-09-05 11:31:00,Sex,FH,0.0795437397041203,0.0,270.0,-1.0
2025-09-05 11:58:00,Sex,FT,0.3089420669890654,0.3333333333333333,25.0,1.029
2025-09-05 12:22:00,Sex,FT,0.3742878184509154,0.35,540.0,0.93
2025-09-05 12:25:00,Sex,FH,0.3319264354360485,0.3461133703883461,108.0,-1.0
2025-09-05 12:34:00,Sex,FT,0.0563308950433904,0.0,300.0,-1.0
2025-09-05 12:35:00,Sex,FT,0.3171082619171867,0.3333333333333333,80.0,1.4900000000000002
2025-09-05 12:47:00,Sex,FT,0.2021151021431205,0.09433962264150944,50.0,-1.0
2025-09-05 12:59:00,Sex,FT,0.8788377507543483,0.5,141.0,0.0
2025-09-05 13:13:00,Sex,FT,0.2421267081831765,0.09433962264150944,185.0,0.0
2025-09-05 13:27:00,Sex,FT,0.2640062332447801,0.09433962264150944,542.0,0.0
2025-09-05 13:34:00,Sex,FH,0.364567075467897,0.35,126.0,0.0
2025-09-05 13:44:00,Sex,FH,0.2587956399629076,0.09433962264150944,148.0,-1.0
2025-09-05 14:07:00,Sex,FT,0.3891851162652783,0.35,543.0,-1.0
2025-09-05 14:20:00,Sex,FT,0.5123170132416882,0.375,1262.0,0.95
2025-09-05 14:23:00,Sex,FH,0.3542822916295966,0.35,126.0,-1.0
2025-09-05 14:48:00,Sex,FT,0.2842489635646112,0.09433962264150944,96.0,-1.0
2025-09-05 14:57:00,Sex,FT,0.4544123019299182,0.375,306.0,-1.0
2025-09-05 17:16:00,Sex,FT,0.0794730672733921,0.0,183.0,-1.0
2025-09-05 17:32:00,Sex,FH,0.3986516156166939,0.35,98.0,-0.5
2025-09-05 17:37:00,Sex,FT,1.0,0.5,4753.0,1.3690000000000002
2025-09-05 17:48:00,Sex,FT,0.4281620639581707,0.375,207.0,0.0
2025-09-05 17:52:00,Sex,FT,0.0637622046164232,0.0,97.0,-1.0
2025-09-05 18:15:00,Sex,FT,0.2547697582513863,0.09433962264150944,83.0,0.8999999999999999
2025-09-06 08:57:00,Sáb,FT,0.1395509268596309,0.0,52.0,1.44
2025-09-06 08:57:00,Sáb,FT,0.4881615428407997,0.375,255.0,-1.0
2025-09-06 09:01:00,Sáb,FT,0.49876181932125,0.375,315.0,0.95
2025-09-06 09:04:00,Sáb,FH,0.4165165774146115,0.375,113.0,1.19
2025-09-06 09:20:00,Sáb,FH,0.3582898793812762,0.35,54.0,-1.0
2025-09-06 09:33:00,Sáb,FH,0.0502530110639149,0.0,101.0,1.09
2025-09-06 09:39:00,Sáb,FH,0.5247963737911658,0.375,391.0,-1.0
2025-09-06 10:02:00,Sáb,FT,0.4687174538151847,0.375,279.0,-1.0
2025-09-06 10:07:00,Sáb,FH,0.3929624512741158,0.35,108.0,-0.5
2025-09-06 10:21:00,Sáb,FT,0.0933239006493919,0.0,271.0,0.94
2025-09-06 10:22:00,Sáb,FT,0.441807225886631,0.375,315.0,-0.5
2025-09-06 10:24:00,Sáb,FH,0.4190965672576376,0.375,108.0,-1.0
2025-09-06 10:59:00,Sáb,FT,0.3254052105253223,0.3333333333333333,53.0,-1.0
2025-09-06 11:53:00,Sáb,FT,0.368891536280469,0.35,134.0,0.99
2025-09-06 11:56:00,Sáb,FH,0.4614692470819206,0.375,222.0,0.0
2025-09-07 11:02:00,Dom,FT,0.2065356960137281,0.09433962264150944,75.0,0.0
2025-09-07 11:04:00,Dom,FT,0.3400127161959801,0.35,227.0,1.2040000000000002
2025-09-07 11:05:00,Dom,FT,0.3328050982840698,0.34806655335627606,364.0,0.77
2025-09-07 11:38:00,Dom,FT,0.3008321659077432,0.09433962264150944,315.0,0.859
2025-09-07 20:27:00,Dom,FT,0.2670812392216296,0.09433962264150944,189.0,1.265
2025-09-07 20:28:00,Dom,FH,0.333558533996628,0.3497413684511817,180.0,-0.5
2025-09-07 20:39:00,Dom,FT,0.9481530816938842,0.5,291.0,0.6699999999999999
2025-09-07 20:40:00,Dom,FT,0.3177052110598145,0.3333333333333333,270.0,0.97
2025-09-12 09:30:00,Sex,FT,0.0561527558456393,0.0,184.0,0.859
2025-09-12 09:58:00,Sex,FH,0.6159844535833818,0.44512948592005,164.0,-1.0
2025-09-12 10:27:00,Sex,FH,0.2022795888116063,0.09433962264150944,200.0,-0.5
2025-09-12 10:28:00,Sex,FH,0.1578547657271689,0.0,29.0,-1.0
2025-09-12 10:32:00,Sex,FH,0.5317417452156605,0.375,239.0,-1.0
2025-09-12 10:35:00,Sex,FT,0.296720571030571,0.09433962264150944,300.0,-1.0
2025-09-12 10:35:00,Sex,FT,0.8867667386893116,0.5,3962.0,0.6599999999999999
2025-09-12 10:38:00,Sex,FT,0.1289608272644785,0.0,75.0,1.63
2025-09-12 10:58:00,Sex,FH,0.3409439941974858,0.35,136.0,0.71
2025-09-12 10:58:00,Sex,FH,0.354129057438606,0.35,110.0,0.8
2025-09-12 11:03:00,Sex,FT,0.0535652595965093,0.0,459.0,0.0
