FH_Ter,FT_Seg,FT_Ter,FT_Sex,FT_Sab,mean_profit,sd_profit,p05_profit,p50_profit,p95_profit,p_neg,mean_stake,mean_roi_turn
300,200,100,100,200,2013.37814945,2758.6545105774353,-2790.0346499999996,2183.0435,6216.28995,0.22905,46387.9151,0.045153529730687716
100,200,100,200,200,2012.8267105999998,2653.5228608930547,-2564.77445,2157.1259999999993,6121.0512,0.2228,58955.6344,0.03721858705261789
250,400,100,100,100,2012.7098821999996,2770.9978788699805,-2868.3683499999993,2199.8100000000004,6177.802499999999,0.22725,43667.8594,0.04818361065984778
150,250,100,300,100,2012.67140065,2729.3968814050363,-2749.57275,2194.8949999999995,6169.808099999999,0.22585,65634.6261,0.03408529092970997
250,300,100,250,50,2012.5902757,2837.241159791816,-2938.0819999999994,2191.1365,6341.5369,0.2337,59483.2658,0.037355801686494494
200,400,100,150,100,2012.5589601499996,2828.2801806303514,-2959.3538999999996,2214.4375,6278.041249999999,0.2318,50948.09675,0.04244923666811527
250,300,100,200,50,2012.0311337499998,2807.9982330060707,-2878.8687499999996,2178.9345000000003,6309.237399999999,0.2321,53885.2243,0.04091688752550195
150,300,150,100,100,2011.8150329,2751.3264152006736,-2774.53365,2183.9289999999996,6271.83635,0.2278,44714.3884,0.04700816459170074
250,250,100,250,100,2011.6191746,2842.714299228563,-2966.4733999999994,2202.0080000000003,6318.291899999999,0.2343,61569.9014,0.03597661032670772
250,250,100,200,100,2011.0600326499998,2814.3204996616982,-2899.3182,2190.3070000000002,6318.9574,0.23355,55971.8599,0.03927214105987016
150,500,100,250,100,2010.48724495,2927.101965452652,-3110.652,2197.5235000000002,6449.0188,0.23765,63520.43445,0.035038661159677145
150,500,100,200,100,2009.9281030000002,2910.3932090352628,-3097.6965500000006,2191.9825,6399.2815,0.23625,57922.39295,0.03817237460394182
100,500,200,100,100,2009.4685026,3124.8486119778054,-3434.8693,2177.7970000000005,6890.7666,0.2555,48124.3684,0.04360218491509373
300,500,150,150,50,2009.4269754999998,3224.6834254405385,-3673.5553,2217.3940000000002,6921.2692,0.25645,51963.87845,0.04143560566291151
300,150,150,250,200,2009.1434668499999,3149.1759885844644,-3496.96935,2247.1034999999997,6783.2717999999995,0.25335,67594.4902,0.03241810563635788
100,250,100,150,150,2008.9713608500003,2564.166628047728,-2418.4497000000006,2147.6665000000003,5985.986349999998,0.21685,50876.43735,0.04252870155531663
100,400,150,250,50,2008.63009065,2873.988550788502,-2991.26325,2152.2865,6449.021449999999,0.23905,61754.5429,0.0358649880610678
300,400,150,100,50,2008.6223875500002,2997.7038176808182,-3261.0997999999995,2186.1425,6579.577399999999,0.2438,43588.7821,0.04792696702979159
300,150,150,200,200,2008.5843248999997,3128.396719418228,-3410.0851,2226.5975,6798.524049999999,0.25415,61996.4487,0.035085949451643714
200,200,150,250,150,2008.0771865,2990.681317327803,-3186.8172000000004,2224.8765,6585.497399999999,0.24585,65655.10845,0.033510368474080156
100,400,150,200,50,2008.0709486999997,2857.5306805480413,-2952.656,2140.5905,6445.8506499999985,0.23765,56156.5014,0.039154309453588686
300,200,100,250,150,2007.5622722000003,2913.1846486541076,-3079.7185999999997,2226.5455,6411.926449999999,0.23905,63496.3325,0.034700462006616584
300,250,150,250,50,2007.5316799500004,3043.7170489381806,-3310.100749999999,2194.807,6666.603349999999,0.24815,61490.8241,0.03588423578026395
200,200,150,200,150,2007.5180445500002,2971.1534267710567,-3125.07135,2207.7465,6579.4649,0.2466,60057.06695,0.036358263589095545
300,200,100,200,150,2007.00313025,2885.380062734257,-3023.696149999999,2205.5379999999996,6399.456,0.23865,57898.291,0.037769743823855936
300,250,150,200,50,2006.9725380000002,3018.9091627448593,-3235.1043999999993,2191.179,6650.550899999999,0.2473,55892.7826,0.03915114941935191
200,150,200,100,250,2006.8839116499998,3137.421172594325,-3346.4544499999997,2155.5159999999996,6944.882399999998,0.2573,52050.9267,0.03993428815725383
100,200,150,150,200,2006.73236545,2809.9632651840793,-2805.22685,2144.6965,6391.5239999999985,0.23835,55070.95215,0.03895959856928022
250,300,150,150,50,2005.9367885999995,2972.9257776051577,-3170.4991,2183.7785,6585.123849999998,0.2438,50000.54205,0.042964172939936644
250,250,150,150,100,2004.9656875,2976.553393974232,-3176.9572,2200.8125,6588.120249999999,0.24535,52087.17765,0.04116686737500188
150,400,100,300,50,2004.85663875,2805.441214350615,-2901.75655,2184.4390000000003,6313.793449999997,0.23145,64496.21645,0.034651681174229204
200,100,100,250,300,2004.5583066,2867.9267371176597,-3009.041600000001,2193.6384999999996,6371.442399999998,0.23775,67667.48625,0.03221334573735096
100,150,200,300,200,2004.3589757,3137.8744654760862,-3418.0784999999996,2190.7259999999997,6875.516849999997,0.25755,73105.8585,0.03009516166165871
200,100,100,200,300,2003.9991646499998,2851.511633127451,-2959.8859499999994,2180.7569999999996,6394.341999999999,0.2384,62069.44475,0.034898295659649185
150,500,150,150,100,2003.83375785,3077.325676080334,-3391.29725,2203.9605,6671.669299999997,0.25055,54037.7107,0.03989098325226924
250,400,100,250,50,2003.8044127,2919.0265533044435,-3110.7814000000008,2188.1800000000003,6449.935099999996,0.24005,60431.49175,0.036593026551898764
250,400,100,200,50,2003.2452707499997,2893.7398765422627,-3075.2755,2177.9764999999998,6403.188999999999,0.23885,54833.45025,0.040023381754666305
150,400,150,100,100,2003.0291699000002,2843.168944815724,-2986.18605,2184.0285,6390.721349999999,0.23425,45662.61435,0.045830045728784366
150,300,150,250,50,2002.9095634000003,2892.423561588137,-3021.2195999999994,2164.4390000000003,6461.112899999999,0.2392,61478.02075,0.03589831693551143
100,250,200,300,50,2002.7471888000005,3027.6994701787794,-3194.8662999999997,2146.447,6746.7414,0.25115,67002.1924,0.03307984281980588
200,200,100,400,250,2002.6160303499996,3235.1446373239014,-3805.4336499999995,2345.6009999999997,6726.801999999999,0.25535,79002.8642,0.02833894398636989
150,300,150,200,50,2002.3504214499999,2871.9085490202033,-2979.94285,2151.1755,6448.244,0.2381,55879.97925,0.03918924689829667
150,250,150,250,100,2001.9384623000003,2894.8991328822376,-3035.7624,2183.4130000000005,6455.62245,0.23895,63564.65635,0.034629374599899156
250,200,100,150,200,2001.9066875,2856.5141930354716,-2978.7616999999996,2179.9475,6390.816649999999,0.23895,53747.901,0.03977781340759658
