test_week,train_weeks,bet_type,dow_pt,score_col,cutoff,stake_frac,status
2026-01-12/2026-01-18,25,FT,quarta-feira,proba_raw_quarta,0.53,0.07,ok
2026-01-12/2026-01-18,25,FT,quinta-feira,proba_raw_segqui,0.83,0.01,ok
2026-01-12/2026-01-18,25,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2026-01-12/2026-01-18,25,FT,sábado,proba_raw_sexdom,0.57,0.07,ok
2026-01-12/2026-01-18,25,FT,domingo,proba_raw_sexdom,0.23,0.04,ok
2026-01-12/2026-01-18,25,FH,segunda-feira,proba_raw_segunda,1.0,0.0,no_candidate
2026-01-12/2026-01-18,25,FH,terça-feira,proba_raw_terca,0.67,0.07,ok
2026-01-12/2026-01-18,25,FH,quarta-feira,proba_raw_quarta,0.11,0.01,ok
2026-01-12/2026-01-18,25,FH,quinta-feira,proba_raw_segqui,0.69,0.07,ok
2026-01-12/2026-01-18,25,FH,sexta-feira,proba_raw_sexdom,0.07,0.01,ok
2026-01-12/2026-01-18,25,FH,sábado,proba_raw_sexdom,0.19,0.01,ok
2026-01-12/2026-01-18,25,FH,domingo,proba_raw_sexdom,0.35,0.01,ok
