date,dow_pt,subset,bet_id,payload_path,payload_hash_minipipeline,payload_hash_log,match_payload_hash,proba_raw_quarta,proba_raw_segqui,proba_cal_segqui,score_portfolio,score_portfolio_col,log_score_ref,log_score_ref_col,abs_diff_score,match6_score,log_proba_raw,abs_diff_raw,match6_raw,decision_minipipeline,decision_log,match_decision
2026-01-22,quinta-feira,SegQui,23489,/workspace/payloads_22_01_26/payload023489.csv,,,,,0.28892240982676026,0.16666666666666666,0.16666666666666666,proba_cal_segqui,0.16666666666666666,scoring.jsonl.proba_cal,0.0,1,0.28892240982676026,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23490,/workspace/payloads_22_01_26/payload023490.csv,,,,,0.44895125196088176,0.44272445820433437,0.44272445820433437,proba_cal_segqui,0.44272445820433437,scoring.jsonl.proba_cal,0.0,1,0.44895125196088176,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23492,/workspace/payloads_22_01_26/payload023492.csv,,,,,0.5727474570722828,0.48924124936179714,0.48924124936179714,proba_cal_segqui,0.48924124936179714,scoring.jsonl.proba_cal,0.0,1,0.5727474570722828,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23493,/workspace/payloads_22_01_26/payload023493.csv,,,,,0.45580973640681677,0.44272445820433437,0.44272445820433437,proba_cal_segqui,0.44272445820433437,scoring.jsonl.proba_cal,0.0,1,0.45580973640681677,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23494,/workspace/payloads_22_01_26/payload023494.csv,,,,,0.42486794037782866,0.38228624353012164,0.38228624353012164,proba_cal_segqui,0.3822862435301223,scoring.jsonl.proba_cal,6.661338147750939e-16,1,0.4248679403778287,5.551115123125783e-17,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23496,/workspace/payloads_22_01_26/payload023496.csv,,,,,0.3098565015138748,0.16666666666666666,0.16666666666666666,proba_cal_segqui,0.16666666666666666,scoring.jsonl.proba_cal,0.0,1,0.3098565015138748,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23497,/workspace/payloads_22_01_26/payload023497.csv,,,,,0.4545292889570932,0.44272445820433437,0.44272445820433437,proba_cal_segqui,0.44272445820433437,scoring.jsonl.proba_cal,0.0,1,0.4545292889570932,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23499,/workspace/payloads_22_01_26/payload023499.csv,,,,,0.45809694311304716,0.44272445820433437,0.44272445820433437,proba_cal_segqui,0.44272445820433437,scoring.jsonl.proba_cal,0.0,1,0.45809694311304716,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23500,/workspace/payloads_22_01_26/payload023500.csv,,,,,0.41407900063667824,0.35555555555555557,0.35555555555555557,proba_cal_segqui,0.35555555555555557,scoring.jsonl.proba_cal,0.0,1,0.41407900063667824,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23501,/workspace/payloads_22_01_26/payload023501.csv,,,,,0.5547726100087216,0.4536082474226804,0.4536082474226804,proba_cal_segqui,0.4536082474226804,scoring.jsonl.proba_cal,0.0,1,0.5547726100087216,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23503,/workspace/payloads_22_01_26/payload023503.csv,,,,,0.46255554842972485,0.44272445820433437,0.44272445820433437,proba_cal_segqui,0.44272445820433437,scoring.jsonl.proba_cal,0.0,1,0.46255554842972485,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23504,/workspace/payloads_22_01_26/payload023504.csv,,,,,0.5550215188941823,0.4536082474226804,0.4536082474226804,proba_cal_segqui,0.4536082474226804,scoring.jsonl.proba_cal,0.0,1,0.5550215188941823,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23505,/workspace/payloads_22_01_26/payload023505.csv,,,,,0.4278543666974987,0.4074960758059937,0.4074960758059937,proba_cal_segqui,0.4074960758059937,scoring.jsonl.proba_cal,0.0,1,0.4278543666974987,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23506,/workspace/payloads_22_01_26/payload023506.csv,,,,,0.3774926948588812,0.3125,0.3125,proba_cal_segqui,0.3125,scoring.jsonl.proba_cal,0.0,1,0.3774926948588812,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23508,/workspace/payloads_22_01_26/payload023508.csv,,,,,0.6139275599107091,0.4909090909090909,0.4909090909090909,proba_cal_segqui,0.4909090909090909,scoring.jsonl.proba_cal,0.0,1,0.6139275599107092,1.1102230246251565e-16,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23510,/workspace/payloads_22_01_26/payload023510.csv,,,,,0.5628232830911829,0.4536082474226804,0.4536082474226804,proba_cal_segqui,0.4536082474226804,scoring.jsonl.proba_cal,0.0,1,0.5628232830911829,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23511,/workspace/payloads_22_01_26/payload023511.csv,,,,,0.3834801552152552,0.3125,0.3125,proba_cal_segqui,0.3125,scoring.jsonl.proba_cal,0.0,1,0.3834801552152552,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23512,/workspace/payloads_22_01_26/payload023512.csv,,,,,0.28450869542826906,0.16666666666666666,0.16666666666666666,proba_cal_segqui,0.16666666666666666,scoring.jsonl.proba_cal,0.0,1,0.28450869542826906,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23515,/workspace/payloads_22_01_26/payload023515.csv,,,,,0.3951250488760719,0.3125,0.3125,proba_cal_segqui,0.3125,scoring.jsonl.proba_cal,0.0,1,0.3951250488760719,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23516,/workspace/payloads_22_01_26/payload023516.csv,,,,,0.36542082356551064,0.31185075319019273,0.31185075319019273,proba_cal_segqui,0.31185075319019273,scoring.jsonl.proba_cal,0.0,1,0.36542082356551064,0.0,1.0,0.0,0.0,1.0
