week,rule_key,roi_pred_train,bias_est,roi_debiased,keep,shrink_mu0,shrink_tau2
2025-10-13/2025-10-19,FT|quinta-feira,-0.0015062308077487864,0.0,-0.0015062308077487864,0,,0.0
2025-12-29/2026-01-04,FT|segunda-feira,0.208157773112037,0.06738680270305764,0.2755445758150946,1,0.06738680270305764,0.0
2025-12-29/2026-01-04,FT|terça-feira,0.09282465154998336,0.06738680270305764,0.160211454253041,1,0.06738680270305764,0.0
2025-12-29/2026-01-04,FT|quarta-feira,0.11654402599935501,0.06738680270305764,0.18393082870241265,1,0.06738680270305764,0.0
2025-12-29/2026-01-04,FT|sexta-feira,0.05235155052680551,0.06738680270305764,0.11973835322986315,1,0.06738680270305764,0.0
2025-12-29/2026-01-04,FT|sábado,0.13477249826243448,0.06738680270305764,0.20215930096549212,1,0.06738680270305764,0.0
2025-12-29/2026-01-04,FT|domingo,0.035368946909867624,0.06738680270305764,0.10275574961292526,1,0.06738680270305764,0.0
2025-12-29/2026-01-04,FH|terça-feira,0.0718104146934663,0.06738680270305764,0.13919721739652394,1,0.06738680270305764,0.0
2025-12-29/2026-01-04,FH|quarta-feira,0.05741065686381343,0.06738680270305764,0.12479745956687106,1,0.06738680270305764,0.0
2025-12-29/2026-01-04,FH|sábado,6.913756324494034e-05,0.06738680270305764,0.06745594026630257,1,0.06738680270305764,0.0
2026-01-05/2026-01-11,FT|segunda-feira,0.24507198658113719,0.10757446542010117,0.35264645200123834,1,0.06357306279350143,0.0029251069737318836
2026-01-05/2026-01-11,FT|terça-feira,0.08272292993313002,0.0872842368562551,0.1700071667893851,1,0.06357306279350143,0.0029251069737318836
2026-01-05/2026-01-11,FT|quarta-feira,0.11168802491604857,0.04242992794613463,0.1541179528621832,1,0.06357306279350143,0.0029251069737318836
2026-01-05/2026-01-11,FT|sexta-feira,0.015448013699299731,0.057720118623448856,0.07316813232274859,1,0.06357306279350143,0.0029251069737318836
2026-01-05/2026-01-11,FT|sábado,0.11874031083483304,0.06894203861189463,0.18768234944672768,1,0.06357306279350143,0.0029251069737318836
2026-01-05/2026-01-11,FT|domingo,0.03389524078862314,0.05538802953563371,0.08928327032425684,1,0.06357306279350143,0.0029251069737318836
2026-01-05/2026-01-11,FH|terça-feira,0.09233155121419345,0.07155018439110045,0.1638817356052939,1,0.06357306279350143,0.0029251069737318836
2026-01-05/2026-01-11,FH|quarta-feira,0.05501854616115453,0.035174532068449726,0.09019307822960426,1,0.06357306279350143,0.0029251069737318836
2026-01-05/2026-01-11,FH|sábado,-0.03365150322615423,0.05661331644242945,0.022961813216275224,1,0.06357306279350143,0.0029251069737318836
2026-01-12/2026-01-18,FT|segunda-feira,0.25627136283110513,0.054478703825817515,0.3107500666569226,1,0.054478703825817515,0.0
2026-01-12/2026-01-18,FT|terça-feira,0.08139144759662738,0.054478703825817515,0.1358701514224449,1,0.054478703825817515,0.0
2026-01-12/2026-01-18,FT|quarta-feira,0.10374754664568368,0.054478703825817515,0.15822625047150118,1,0.054478703825817515,0.0
2026-01-12/2026-01-18,FT|sexta-feira,0.019274537595772186,0.054478703825817515,0.0737532414215897,1,0.054478703825817515,0.0
2026-01-12/2026-01-18,FT|sábado,0.13782786034967245,0.054478703825817515,0.19230656417548997,1,0.054478703825817515,0.0
2026-01-12/2026-01-18,FT|domingo,0.07253943115707821,0.054478703825817515,0.12701813498289571,1,0.054478703825817515,0.0
2026-01-12/2026-01-18,FH|terça-feira,0.15873589374614738,0.054478703825817515,0.2132145975719649,1,0.054478703825817515,0.0
2026-01-12/2026-01-18,FH|quarta-feira,0.0516189144267744,0.054478703825817515,0.10609761825259192,1,0.054478703825817515,0.0
2026-01-12/2026-01-18,FH|quinta-feira,0.017439978354978344,0.054478703825817515,0.07191868218079586,1,0.054478703825817515,0.0
2026-01-12/2026-01-18,FH|sábado,-0.028262413193347505,0.054478703825817515,0.02621629063247001,1,0.054478703825817515,0.0
