date,bet_id,model,portfolio_score_col,score_portfolio,score_operacional,abs_diff,cutoff_operacional,calib_floor,ts_utc
2026-01-21,23301,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.49272273621875295,0.49272273621875295,0.0,0.0,0.005,2026-01-21 16:00:42.936742+00:00
2026-01-21,23305,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.4058657581924213,0.4058657581924213,0.0,0.0,0.005,2026-01-21 16:55:20.303022+00:00
2026-01-21,23307,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.8482225529281928,0.8482225529281928,0.0,0.0,0.005,2026-01-21 16:55:39.422017+00:00
2026-01-21,23311,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.19960715706276794,0.19960715706276794,0.0,0.0,0.005,2026-01-21 16:56:24.719715+00:00
2026-01-21,23316,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.3328976954554755,0.3328976954554755,0.0,0.0,0.005,2026-01-21 17:31:01.923797+00:00
2026-01-21,23317,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.4043513675540569,0.4043513675540569,0.0,0.0,0.005,2026-01-21 17:48:03.465811+00:00
2026-01-21,23320,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.27754570229983805,0.27754570229983805,0.0,0.0,0.005,2026-01-21 18:00:21.565908+00:00
2026-01-21,23321,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.2362579003126923,0.2362579003126923,0.0,0.0,0.005,2026-01-21 18:04:22.403796+00:00
2026-01-21,23323,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.14899642375500374,0.14899642375500374,0.0,0.0,0.005,2026-01-21 18:26:40.965538+00:00
2026-01-21,23324,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.22071742755343968,0.22071742755343968,0.0,0.0,0.005,2026-01-21 18:30:42.667276+00:00
2026-01-21,23329,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.28042710707116814,0.28042710707116814,0.0,0.0,0.005,2026-01-21 18:40:49.487973+00:00
2026-01-21,23332,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.08289250862128887,0.08289250862128887,0.0,0.0,0.005,2026-01-21 18:47:03.990359+00:00
2026-01-21,23334,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.2274742195765549,0.2274742195765549,0.0,0.0,0.005,2026-01-21 19:15:56.083501+00:00
2026-01-21,23335,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.1888647555773517,0.1888647555773517,0.0,0.0,0.005,2026-01-21 19:30:26.497950+00:00
2026-01-21,23337,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.24898062322471906,0.24898062322471906,0.0,0.0,0.005,2026-01-21 19:52:41.907592+00:00
2026-01-21,23340,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.18530747396524777,0.18530747396524777,0.0,0.0,0.005,2026-01-21 20:00:27.433673+00:00
2026-01-21,23341,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.20657161086123474,0.20657161086123474,0.0,0.0,0.005,2026-01-21 20:03:29.611461+00:00
2026-01-21,23342,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.24065622781512835,0.24065622781512835,0.0,0.0,0.005,2026-01-21 20:15:37.652055+00:00
2026-01-21,23343,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.1481846765213696,0.1481846765213696,0.0,0.0,0.005,2026-01-21 20:19:41.262564+00:00
2026-01-21,23346,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.07693077944788407,0.07693077944788407,0.0,0.0,0.005,2026-01-21 21:40:22.631012+00:00
2026-01-21,23347,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.23216129095738638,0.23216129095738638,0.0,0.0,0.005,2026-01-21 21:43:24.951073+00:00
2026-01-21,23355,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.2705289567171888,0.2705289567171888,0.0,0.0,0.005,2026-01-21 23:33:24.620236+00:00
2026-01-22,23456,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4536082474226804,0.4536082474226804,0.0,0.62,0.005,2026-01-22 13:00:11.693397+00:00
2026-01-22,23457,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.3,0.3,0.0,0.62,0.005,2026-01-22 13:00:28.475607+00:00
2026-01-22,23458,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.3125580697921629,0.3125580697921629,0.0,0.62,0.005,2026-01-22 13:00:51.733319+00:00
2026-01-22,23459,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.44272445820433437,0.44272445820433437,0.0,0.62,0.005,2026-01-22 13:01:07.676943+00:00
2026-01-22,23460,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4536082474226804,0.4536082474226804,0.0,0.62,0.005,2026-01-22 13:01:24.958497+00:00
2026-01-22,23465,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.08601226430081543,0.08601226430081543,0.0,0.62,0.005,2026-01-22 13:01:52.502583+00:00
2026-01-22,23466,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4536082474226804,0.4536082474226804,0.0,0.62,0.005,2026-01-22 13:03:34.113125+00:00
2026-01-22,23468,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4909090909090909,0.4909090909090909,0.0,0.62,0.005,2026-01-22 13:03:56.613294+00:00
2026-01-22,23469,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4909090909090909,0.4909090909090909,0.0,0.62,0.005,2026-01-22 13:04:20.206422+00:00
2026-01-22,23471,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.16666666666666666,0.16666666666666666,0.0,0.62,0.005,2026-01-22 13:04:39.314448+00:00
2026-01-22,23473,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.3,0.3,0.0,0.62,0.005,2026-01-22 13:04:58.552928+00:00
2026-01-22,23476,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.3125,0.3125,0.0,0.62,0.005,2026-01-22 13:05:20.486899+00:00
2026-01-22,23477,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.27505316186341144,0.27505316186341144,0.0,0.62,0.005,2026-01-22 13:05:36.410882+00:00
