BIA_ApostaUTC,dow_pt,rf_prob,score_rpa_like,abs_diff,match_6dec
2025-12-22 22:51:00,segunda-feira,0.181658,0.1816578483245149,1.5167548508832063e-07,1
2025-12-22 23:05:00,segunda-feira,0.292769,0.2927689594356261,4.056437391541934e-08,1
2025-12-22 23:37:00,segunda-feira,0.292769,0.2927689594356261,4.056437391541934e-08,1
2025-12-23 08:41:00,terça-feira,0.253699,0.238431527038134,0.015267472961866008,0
2025-12-23 08:44:00,terça-feira,0.578296,0.3132984127874517,0.26499758721254835,0
2025-12-23 09:33:00,terça-feira,0.287655,0.1622767952556066,0.1253782047443934,0
2025-12-23 11:01:00,terça-feira,0.149963,0.0625440514935997,0.0874189485064003,0
2025-12-23 11:02:00,terça-feira,0.199769,0.1737677575053172,0.026001242494682802,0
2025-12-23 11:02:00,terça-feira,0.440236,0.4132296986288315,0.027006301371168495,0
2025-12-23 11:14:00,terça-feira,0.490091,0.465607806199511,0.024483193800489023,0
2025-12-23 11:30:00,terça-feira,0.380408,0.2979337297618895,0.08247427023811055,0
2025-12-23 11:34:00,terça-feira,0.336891,0.5278586371340627,0.19096763713406267,0
2025-12-23 11:47:00,terça-feira,0.709531,0.4895930118542907,0.2199379881457093,0
2025-12-23 11:51:00,terça-feira,0.449452,0.408319153269288,0.04113284673071199,0
2025-12-23 11:53:00,terça-feira,0.101693,0.080609000919758,0.021083999080242,0
2025-12-23 12:03:00,terça-feira,0.399912,0.2758111386893763,0.1241008613106237,0
2025-12-23 12:10:00,terça-feira,0.15569,0.0484421103645157,0.10724788963548429,0
2025-12-23 12:56:00,terça-feira,0.556867,0.6472875474087316,0.09042054740873162,0
2025-12-23 13:02:00,terça-feira,0.391483,0.3223384175354344,0.06914458246456562,0
2025-12-23 13:14:00,terça-feira,0.63361,0.6381079237847868,0.00449792378478675,0
2025-12-23 13:40:00,terça-feira,0.46761,0.6361442037696903,0.16853420376969025,0
2025-12-23 13:54:00,terça-feira,0.129547,0.0884075786936068,0.0411394213063932,0
2025-12-23 13:56:00,terça-feira,0.449337,0.275711939652776,0.17362506034722397,0
2025-12-23 14:54:00,terça-feira,0.427284,0.3991729188421293,0.0281110811578707,0
2025-12-23 15:21:00,terça-feira,0.268289,0.2804269273208516,0.012137927320851616,0
2025-12-23 16:16:00,terça-feira,0.426144,0.3343067758841103,0.09183722411588974,0
2025-12-23 16:18:00,terça-feira,0.298094,0.331522958806174,0.03342895880617397,0
2025-12-23 19:07:00,terça-feira,0.350503,0.321113183425383,0.029389816574617034,0
2025-12-23 21:37:00,terça-feira,0.507502,0.3567965457048346,0.1507054542951654,0
2025-12-23 23:42:00,terça-feira,0.18532,0.2483903358045098,0.0630703358045098,0
2025-12-23 23:59:00,terça-feira,0.209623,0.188887652608351,0.020735347391649006,0
2025-12-24 08:02:00,quarta-feira,0.115846,0.2839165672262757,0.16807056722627567,0
2025-12-24 08:40:00,quarta-feira,0.19897,0.4231662727345615,0.22419627273456147,0
2025-12-24 12:29:00,quarta-feira,0.278239,0.778956499084401,0.500717499084401,0
2025-12-24 12:35:00,quarta-feira,0.312757,0.1035452643066884,0.2092117356933116,0
2025-12-24 12:58:00,quarta-feira,0.449083,0.1705370396170307,0.2785459603829693,0
2025-12-24 13:13:00,quarta-feira,0.622262,0.2297372165411039,0.3925247834588961,0
2025-12-24 14:09:00,quarta-feira,0.477428,0.5262845632570509,0.048856563257050845,0
2025-12-24 14:14:00,quarta-feira,0.355241,0.6840132867584391,0.3287722867584391,0
2025-12-24 14:35:00,quarta-feira,0.487072,0.5439201087041887,0.056848108704188716,0
2025-12-24 15:00:00,quarta-feira,0.294646,0.2480534418011213,0.046592558198878725,0
2025-12-24 15:05:00,quarta-feira,0.005,0.193608250921675,0.188608250921675,0
2025-12-24 15:25:00,quarta-feira,0.015804,0.2546879780168858,0.23888397801688582,0
2025-12-24 15:26:00,quarta-feira,0.196289,0.1186846356557025,0.07760436434429749,0
2025-12-24 15:26:00,quarta-feira,0.282427,0.0933607285021628,0.18906627149783717,0
2025-12-24 15:27:00,quarta-feira,0.653291,0.3740422334581839,0.2792487665418161,0
2025-12-24 16:00:00,quarta-feira,0.487733,0.2952905198850459,0.19244248011495413,0
2025-12-24 16:00:00,quarta-feira,0.282318,0.1051654751300915,0.1771525248699085,0
2025-12-24 16:29:00,quarta-feira,0.5002,0.2523090383140642,0.24789096168593577,0
2025-12-24 16:50:00,quarta-feira,0.420667,0.4168755472185582,0.0037914527814418286,0
2025-12-24 18:03:00,quarta-feira,0.256711,0.1145992581471657,0.14211174185283432,0
2025-12-24 19:55:00,quarta-feira,0.097624,0.0592337650999054,0.038390234900094605,0
