thr,Tipo,DOW,folds_seen,n,meanROI,p_one_median,mean_n_per_fold
0.25,FT,Sáb,5.0,260.0,-0.0062423076923077,0.541609483273929,52.0
0.2,FH,Sex,5.0,106.0,-0.006542452830188648,0.15583279306672063,21.2
0.2,FH,Dom,5.0,72.0,-0.012993055555555562,0.6451075529766789,14.4
0.25,FT,Qua,5.0,136.0,-0.016110294117647046,0.5086390501780385,27.2
0.3,FT,Sáb,5.0,227.0,-0.023211453744493408,0.48997132630322016,45.4
0.2,FT,Qua,5.0,143.0,-0.034517482517482496,0.5845874816537255,28.6
0.25,FH,Sex,5.0,93.0,-0.03646774193548386,0.18961943931650294,18.6
0.35,FT,Sex,5.0,89.0,-0.042707865168539326,0.5709398885392831,17.8
0.4,FT,Sex,5.0,56.0,-0.05709821428571425,0.3772685467159663,11.2
0.35,FH,Sex,5.0,53.0,-0.0719622641509434,0.41476141457326604,10.6
0.2,FT,Dom,5.0,164.0,-0.11504268292682925,0.6750206588070224,32.8
0.25,FT,Dom,5.0,88.0,-0.15476136363636364,0.6972021432390338,17.6
0.3,FT,Dom,5.0,71.0,-0.18080281690140845,0.7220617101013607,14.2
0.4,FT,Dom,5.0,45.0,-0.30104444444444445,0.8050928692256909,9.0
0.35,FT,Dom,5.0,53.0,-0.33371698113207543,0.7945309987328186,10.6
