thr,Tipo,DOW,oos_n,oos_meanROI_unit,oos_sd,oos_p_one,oos_profit_stakemax_proxy,oos_roi_stakemax_proxy,dec_bets,dec_profit_stakemax,dec_roi_stakemax,dec_Bmax
0.25,FT,Qua,136,-0.01611029411764707,0.9266890119032032,0.580178156506798,-6401.0025,-0.16898105860612458,86,-1163.7925,-0.055627957554610204,33340.0
0.25,FT,Sex,154,0.03242857142857143,0.9149659239138014,0.3303410291155219,-15290.321,-0.21296008300951266,68,-3260.833,-0.12089248507767027,122760.0
0.25,FT,Sáb,260,-0.006242307692307707,0.9282330377305165,0.5431332299984541,-39555.8305,-0.18614420873313536,97,-68381.53,-0.5994383568848838,750000.0
0.25,FT,Dom,88,-0.15476136363636364,0.885812361676709,0.947581003024261,-124052.851,-0.733185878000201,40,-28987.864999999998,-0.5744380040821988,300000.0
0.25,FH,Seg,41,0.016731707317073193,0.8306075795581884,0.4490082946861187,192.09300000000005,0.04477692307692309,23,715.013,0.27756715838509316,10540.0
0.25,FH,Ter,75,0.28487999999999997,0.8075782776886675,0.001564237765683153,1502.305,0.16248161367077657,43,1254.8629999999996,0.27719527280759876,5560.0
0.25,FH,Qua,40,0.030374999999999996,0.8929107023862451,0.41538636601492135,156.05699999999996,0.02620604534005037,18,-79.43999999999991,-0.028699421965317887,8700.0
0.25,FH,Sex,93,-0.03646774193548387,0.7635388283685168,0.676911953718156,-87.08749999999984,-0.005814361062892231,38,1459.6265,0.2766539992418499,6300.0
0.25,FH,Sáb,165,0.20320606060606058,0.8068451811249223,0.0007354196357069881,4045.177,0.15480968235744355,73,1662.505,0.15695855362537767,15000.0
0.25,FH,Dom,50,-0.00040000000000000034,0.8363592139110309,0.5013422880827545,960.992,0.07068716439867598,25,-830.2379999999999,-0.12166441969519343,31960.0
0.3,FT,Ter,207,0.28026328502415465,0.9147116299818799,8.383006447199797e-06,17980.843,0.29659122474226807,132,8494.188,0.2940691708499221,59920.0
0.3,FT,Qua,129,0.007899224806201545,0.9272133114452517,0.4615338277594315,-3136.5025,-0.09381456943738223,82,185.70749999999998,0.009927166301384507,33340.0
0.3,FT,Sex,125,0.014184000000000033,0.9140418801197805,0.43127252506377584,-13968.438000000002,-0.22084137800192885,49,-3777.4800000000005,-0.16408131352619235,122760.0
0.3,FT,Sáb,227,-0.023211453744493384,0.9234788409548104,0.6473646576695472,-37787.75050000001,-0.18536218906204782,87,-67693.2,-0.6052898887656926,750000.0
0.3,FT,Dom,71,-0.18080281690140845,0.8868468481039733,0.9548777187801348,-124325.12100000001,-0.7606169418731991,31,-29294.845,-0.6147534258073993,300000.0
0.3,FH,Ter,72,0.30536111111111114,0.784804583294027,0.0007534845539434663,1752.805,0.1961509623992838,42,1220.3629999999996,0.2710713016437138,5560.0
0.3,FH,Qua,38,0.010921052631578955,0.9077245796593706,0.4706390925891358,68.05700000000004,0.011983976052121861,18,-79.43999999999991,-0.028699421965317887,8700.0
0.3,FH,Sex,80,0.0029125000000000067,0.7773145298544115,0.4866749889557507,153.4290000000001,0.01090701642141182,26,1650.1430000000003,0.3737583238958098,6300.0
0.3,FH,Sáb,146,0.1784931506849315,0.8403093990665937,0.005641771846426208,2850.5269999999996,0.12093364727843535,62,1181.8449999999998,0.1298445396616128,15000.0
0.3,FH,Dom,37,0.01735135135135134,0.8552078764908634,0.45123308900058723,1216.085,0.10497971339779005,16,-510.2049999999999,-0.09283205967976708,31960.0
0.35,FT,Ter,198,0.2923712121212121,0.9193173462279934,6.451933563399382e-06,18504.963,0.3227741187141337,126,9155.478000000001,0.33119222977861384,59920.0
0.35,FT,Qua,119,0.021840336134453783,0.9246942942674263,0.3985618893938597,-3183.8225,-0.10528861734845729,76,921.7075,0.05383176614881439,33340.0
0.35,FT,Sex,89,-0.042707865168539326,0.895221639040086,0.6731137356384742,-16058.765,-0.33745408506346136,34,-6735.959999999999,-0.38322580645161286,122760.0
0.35,FT,Sáb,153,0.07289869281045752,0.909896237142841,0.16163029748926655,-25900.979999999996,-0.1443039963451799,60,-57101.435,-0.5800515531988378,750000.0
