ts,Tipo,DOW_name,ROI,score_retro,model_used,n_casas,dif_odd_1_2,dif_odd_1_med,dif_odds_rb_bia,m2ms,tempo_total_bot,Subtipo,dow_pt,turno,Casa_vencedora
2025-08-21 15:20:00,FT,Qui,-1.0,0.3362165438976567,global_fallback,9.0,0.02,0.05,0.003999999999999954,440.0,,1,quinta-feira,tarde,sbo
2025-08-21 15:22:00,FH,Qui,0.98,0.7058483793117336,global_fallback,1.0,,0.0,-889.4040404040404,1643.0,,"-0,75",quinta-feira,tarde,pin88
2025-08-21 16:20:00,FH,Qui,-0.5,0.2967964738271567,global_fallback,1.0,,0.0,0.050802139037433254,835.0,,0,quinta-feira,tarde,pin88
2025-08-21 17:01:00,FT,Qui,-1.0,0.44366201304926267,global_fallback,8.0,0.03,0.06,0.0029702970297030827,1499.0,,"-0,25",quinta-feira,tarde,sbo
2025-08-21 17:49:00,FH,Qui,0.0,0.3125613172455382,global_fallback,3.0,0.05,0.05,0.005681818181818187,1496.0,,0,quinta-feira,tarde,sing2
2025-08-22 10:20:00,FH,Sex,-0.5,0.4196960734193566,global_fallback,3.0,0.03,0.03,0.0032771535580524893,1659.0,,"+0,25",sexta-feira,manhã,sbo
2025-08-22 10:24:00,FH,Sex,-0.5,0.4230005095388956,global_fallback,3.0,0.05,0.05,0.004975124378109347,2915.0,,"-0,25",sexta-feira,manhã,sing2
2025-08-22 10:30:00,FT,Sex,-1.0,0.4902114360240701,global_fallback,6.0,0.03,0.04,0.005154639175257737,870.0,,"-0,75",sexta-feira,manhã,sing2
2025-08-22 10:32:00,FH,Sex,0.0,0.30123756759222386,global_fallback,5.0,0.05,0.06,0.012490241998438732,748.0,,0,sexta-feira,manhã,sing2
2025-08-22 10:48:00,FH,Sex,-1.0,0.2882010277348685,global_fallback,5.0,0.01,0.05,0.0037990713381174926,522.0,,0,sexta-feira,manhã,sbo
2025-08-22 11:15:00,FT,Sex,-1.0,0.301872222362833,global_fallback,6.0,0.04,0.09,0.005813953488372098,585.0,,0,sexta-feira,manhã,sing2
2025-08-22 11:42:00,FH,Sex,0.6200000000000001,0.2841872034544477,global_fallback,3.0,0.06,0.06,0.006172839506172844,2207.0,,0,sexta-feira,manhã,sing2
2025-08-22 12:19:00,FH,Sex,-0.5,0.41643317011915637,global_fallback,3.0,0.03,0.03,0.003030303030303033,1840.0,,"-0,25",sexta-feira,tarde,sbo
2025-08-22 12:20:00,FH,Sex,0.94,0.30335193751956696,global_fallback,2.0,0.1,0.05,0.005154639175257737,100.0,,0,sexta-feira,tarde,sing2
2025-08-22 12:22:00,FT,Sex,0.97,0.4959537413093437,global_fallback,4.0,0.03,0.04,0.0050761421319797,278.0,,"-0,75",sexta-feira,tarde,sing2
2025-08-22 13:07:00,FT,Sex,1.2000000000000002,0.5485195041578144,global_fallback,1.0,,0.0,-0.11818181818181807,233.0,,"-1,5",sexta-feira,tarde,pin88
2025-08-22 13:13:00,FT,Sex,0.0,0.30350221938186345,global_fallback,2.0,0.06,0.03,0.005025125628140708,497.0,,0,sexta-feira,tarde,sing2
2025-08-22 13:30:00,FT,Sex,-1.0,0.47826235487870117,global_fallback,8.0,0.02,0.03,-0.004263382283278018,120.0,,"-0,75",sexta-feira,tarde,sbo
2025-08-22 13:48:00,FT,Sex,0.0,0.3102717133842919,global_fallback,7.0,0.01,0.03,0.0,282.0,,1,sexta-feira,tarde,pin88
2025-08-22 13:48:00,FH,Sex,0.813,0.4193914689421387,global_fallback,3.0,0.02,0.02,0.0,1632.0,,"-0,5",sexta-feira,tarde,pin88
2025-08-22 13:56:00,FT,Sex,0.839,0.5091063258012585,global_fallback,4.0,0.08,0.1,0.004893964110929797,904.0,,2,sexta-feira,tarde,sing2
2025-08-22 13:58:00,FT,Sex,-1.0,0.46127799944006914,global_fallback,7.0,0.03,0.03,0.02010050251256283,212.0,,"+0,25",sexta-feira,tarde,sing2
2025-08-22 14:00:00,FT,Sex,-1.0,0.49929444110049437,global_fallback,6.0,0.01,0.03,0.009947891994315656,285.0,,"-0,75",sexta-feira,tarde,sing2
2025-08-22 14:15:00,FH,Sex,0.0,0.2710166322165332,global_fallback,1.0,,0.0,0.0,1425.0,,0,sexta-feira,tarde,pin88
2025-08-22 14:16:00,FT,Sex,0.8999999999999999,0.271026888355565,global_fallback,1.0,,0.0,0.0,1424.0,,0,sexta-feira,tarde,pin88
2025-08-22 14:18:00,FT,Sex,-1.0,0.5494236831431091,global_fallback,1.0,,0.0,-0.08755760368663593,162.0,,"-1,5",sexta-feira,tarde,pin88
2025-08-23 21:47:00,FT,Sáb,0.0,0.289555188799442,global_fallback,6.0,0.01,0.06,0.004893964110929797,1453.0,,0,sábado,noite,sing2
2025-08-23 21:49:00,FT,Sáb,1.2040000000000002,0.48045486253955594,global_fallback,9.0,0.02,0.05,0.006352087114337674,1031.0,,"-0,75",sábado,noite,sing2
2025-08-26 17:38:00,FT,Ter,0.0,0.27423622709492596,global_fallback,9.0,0.04,0.04,0.005617977528089893,1851.0,,0,terça-feira,tarde,sbo
2025-08-26 18:21:00,FH,Ter,-0.5,0.43765060513247467,global_fallback,3.0,0.04,0.04,0.0049261083743841316,1344.0,,"+0,25",terça-feira,noite,sing2
2025-08-26 22:39:00,FT,Ter,-1.0,0.36127603050782725,global_fallback,4.0,0.02,0.03,0.0057142857142857195,1281.0,,-1,terça-feira,noite,sing2
2025-08-26 22:41:00,FT,Ter,1.3330000000000002,0.4680444216726178,global_fallback,9.0,0.05,0.07,0.0038576939562796142,1219.0,,"-1,25",terça-feira,noite,sbo
