audit_gate_to_persist_ms,audit_id,audit_persist_to_bridge_fetch_ms,audit_persist_to_bridge_fetch_ms_clock_skew_suspected,audit_to_finished,audit_to_live_ok_ms,audit_to_request,bridge_fetch_to_policy_ms,clock_skew_suspected,detect_to_audit_gate_ms,detect_to_live_ok_ms,detected_to_audited,dryrun_duration_ms,dryrun_to_final_gate_ms,duplicate_events,event_id,events_present,execution_id,executor_receive_to_dryrun_start_ms,executor_to_live_ok_ms,final_gate_to_place_start_ms,line,market,missing_stages,n_events,order_id,ordering_violations,place_duration_ms,place_to_result_persist_ms,policy_to_request_ms,request_send_to_executor_receive_ms,request_send_to_executor_receive_ms_clock_skew_suspected,request_to_finished,request_to_live_ok_ms,side,status,trace_id,ws_to_detect_ms,ws_to_live_ok_ms
12.807614,422731,,,,,,,False,1.420744,,14.228358,,,{},"2026-07-29,991,35752",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,-2,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,away,UNKNOWN,h3bup:na:690cfc8bbbd1,0.092642,
11.905443,422732,,,,,,,False,0.293438,,12.198881,,,{},"2026-07-29,72630,10017409",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,-7,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,away,UNKNOWN,h3bup:na:d49ff10a0966,0.08905,
8.552285,422733,,,,,,,False,1.125682,,9.677967,,,{},"2026-07-29,10044820,42294",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,-3,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,away,UNKNOWN,h3bup:na:932333a11aea,0.144757,
7.749254,422734,,,,,,,False,1.340631,,9.089885,,,{},"2026-07-29,1274,1309",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,-2,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,away,UNKNOWN,h3bup:na:3519772f7527,0.109213,
10.234063,422735,12.180089950561523,,,,,0.166499,False,0.426508,,10.660571,,,{},"2026-07-29,173,185",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_BRIDGE_FETCHED|H3B_DETECTED|H3B_POLICY_EVAL_FINISHED|H3B_POLICY_EVAL_STARTED|H3B_WS_RECEIVED,,,,,-2,AH,H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,9,,,,,,,,,,home,UNKNOWN,h3bup:na:7aab62810705,0.09571,
14.151313,422736,225.02398490905762,,,,,0.240163,False,0.35404,,14.505353,,,{},"2026-07-29,987,981",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_BRIDGE_FETCHED|H3B_DETECTED|H3B_POLICY_EVAL_FINISHED|H3B_POLICY_EVAL_STARTED|H3B_WS_RECEIVED,,,,,4,AH,H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,9,,,,,,,,,,home,UNKNOWN,h3bup:na:b36e6dcc4543,0.089496,
18.21941,422737,,,,,,,False,3.792343,,22.011753,,,{},"2026-07-29,23594,36940",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,-2,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,away,UNKNOWN,h3bup:na:92b2e42bedfd,0.09361,
17.253847,422738,,,,,,,False,3.049759,,20.303606,,,{},"2026-07-29,24475,10030986",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,0,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,home,UNKNOWN,h3bup:na:bc68228dd85e,0.095422,
14.639495,422739,,,,,,,False,1.647183,,16.286678,,,{},"2026-07-29,1276,62310",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,-5,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,away,UNKNOWN,h3bup:na:e61e41aa9b51,0.136197,
14.895356,422740,,,,,,,False,2.231106,,17.126462,,,{},"2026-07-29,24490,10044263",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,3,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,home,UNKNOWN,h3bup:na:6f06e83594f7,0.068391,
