coverage,max,mean,median,metric,min,missing,n_calculable,n_total,negatives,outliers,p75,p90,p95,p99,status,status_stat,stdev
1.0,156.322392,45.1531895,24.8252115,detected_to_audited,13.05924,0,6,6,0,1,36.216624,96.7647075,126.54354975,150.36662355,API_FAILED,INSUFFICIENT_N,50.57769577719043
1.0,356.142702,34.502058425531914,15.290283,detected_to_audited,8.349511,0,47,47,0,5,22.754212000000003,92.99300039999997,117.98620209999996,265.7528551799998,CAP_BLOCKED,OK,57.748383635135205
1.0,70.270453,24.758158700000003,16.2414655,detected_to_audited,10.906204,0,10,10,0,0,31.21670475,37.659564999999986,53.96500899999997,67.00936420000001,LIVE_OK,INSUFFICIENT_N,17.386085722086666
1.0,5599.10349,40.10550593728048,13.785406,detected_to_audited,5.279803,0,1993,1993,0,132,21.375586,41.4226326,117.8151759999999,504.52065751999754,UNKNOWN,OK,184.56925004727722
1.0,4126.596212387085,3316.9655402501426,3180.0475120544434,audit_to_request,3079.364061355591,0,6,6,0,1,3223.6605286598206,3680.949091911316,3903.7726521492004,4082.0315003395085,API_FAILED,INSUFFICIENT_N,365.86754430197556
1.0,3354.4399738311768,2643.2145808605437,3177.891969680786,audit_to_request,54.228782653808594,0,47,47,0,0,3284.1216325759888,3315.2642726898193,3324.8995304107666,3344.829258918762,CAP_BLOCKED,OK,1174.8464909510503
1.0,3332.3519229888916,3147.1405744552612,3217.0950174331665,audit_to_request,2401.5910625457764,0,10,10,0,0,3288.1422638893127,3320.0506687164307,3326.201295852661,3331.1217975616455,LIVE_OK,INSUFFICIENT_N,259.85521526479573
1.0,4205.918788909912,2727.6814381281533,2511.4834308624268,request_to_finished,1911.6668701171875,0,6,6,0,0,3053.9658665657043,3655.9464931488037,3930.932641029358,4150.921559333801,API_FAILED,INSUFFICIENT_N,791.2186886321239
1.0,9838.032007217407,2971.340113497795,2642.0669555664062,request_to_finished,2293.912172317505,0,47,47,0,2,2833.812475204468,3393.5131549835205,3857.841730117797,8527.299213409422,CAP_BLOCKED,OK,1236.7383910814494
1.0,10265.087127685547,6567.887091636658,6344.730973243713,request_to_finished,4209.870100021362,0,10,10,0,0,8024.004697799683,8711.119937896729,9488.103532791136,10109.690408706665,LIVE_OK,INSUFFICIENT_N,1899.561573544443
1.0,7394.654989242554,6044.646978378296,6007.784008979797,audit_to_finished,5225.461959838867,0,6,6,0,0,6217.565536499023,6835.994005203247,7115.3244972229,7338.788890838623,API_FAILED,INSUFFICIENT_N,710.4112592172385
1.0,10290.014028549194,5614.554694358339,5749.417781829834,audit_to_finished,2598.210096359253,0,47,47,0,2,6031.670451164246,6600.864362716675,7068.390703201294,10174.517650604248,CAP_BLOCKED,OK,1477.6406033429523
1.0,13583.770990371704,9715.027666091919,9211.702466011047,audit_to_finished,7381.103038787842,0,10,10,0,0,11229.25990819931,11969.783902168272,12776.777446269987,13422.372281551361,LIVE_OK,INSUFFICIENT_N,1942.2268951488163
