audit_id,audit_to_finished_ms,audit_to_request_ms,call_to_done_ms,detected_to_audited_ms,execution_id,post_ms,pre_submit_ms,queue_delay_ms,request_created_at,request_to_finished_ms,result_finished_at,shadow_to_request_ms,status,total_ms_timing
421230,,,2405,,e2e161b3-d9b8-433e-8210-450b5de2d5fc,772,1156,0,2026-07-29T10:22:26.807627+00:00,2405.125,2026-07-29T10:22:29.212752+00:00,,CAP_BLOCKED,1153
421239,,,2401,,da606e1d-ae89-4807-81c2-bd86f9c303e4,798,1153,0,2026-07-29T10:24:12.813834+00:00,2401.51,2026-07-29T10:24:15.215344+00:00,,CAP_BLOCKED,1150
421245,,,3104,,bce0ab66-6e9c-4c65-a791-61bea5641d3d,1624,1902,0,2026-07-29T10:25:16.215817+00:00,3103.625,2026-07-29T10:25:19.319442+00:00,,CAP_BLOCKED,1899
421246,,,3102,,a9f611f6-c68f-4b6e-a5c5-8460dcdd5dcf,1613,1900,2,2026-07-29T10:25:16.390390+00:00,3102.134,2026-07-29T10:25:19.492524+00:00,,CAP_BLOCKED,1894
421264,,,3135,,0fac313a-e6ad-45f6-9515-d4bc8de99eab,800,1886,1,2026-07-29T10:27:01.180097+00:00,3135.3,2026-07-29T10:27:04.315397+00:00,,CAP_BLOCKED,1882
421295,,,2317,,31d2f2df-0350-4f3a-bf7e-4db9b954c030,755,1070,0,2026-07-29T10:31:03.700547+00:00,2316.98,2026-07-29T10:31:06.017527+00:00,,CAP_BLOCKED,1067
421304,,,2028,,7d93a090-0cc6-4471-a37f-6cea683830f8,808,2028,0,2026-07-29T10:31:53.143507+00:00,2028.029,2026-07-29T10:31:55.171536+00:00,,API_FAILED,2025
421311,,,2697,,5414162f-6d1c-409d-89ba-4062a05df1b0,778,1454,0,2026-07-29T10:32:58.624226+00:00,2697.031,2026-07-29T10:33:01.321257+00:00,,CAP_BLOCKED,1448
421331,,,2351,,839449c9-589e-44da-a736-a76dfed2e0d7,852,1142,0,2026-07-29T10:35:47.176444+00:00,2350.899,2026-07-29T10:35:49.527343+00:00,,CAP_BLOCKED,1139
421360,,,3272,,c4006059-7164-4cd1-9576-2cb575522fe0,878,2034,1,2026-07-29T10:39:02.545908+00:00,3271.676,2026-07-29T10:39:05.817584+00:00,,CAP_BLOCKED,2024
