ts,day,era,cum_pnl,cum_stake,cum_roi,order_id
2026-07-30T21:59:57.502808+00:00,2026-07-30,stake10,-26.34000000000001,370.0,-0.07118918918918922,1942652925
2026-07-30T22:22:13.645620+00:00,2026-07-30,stake10,-15.820000000000011,380.0,-0.04163157894736845,1942723628
2026-07-31T04:03:05.022825+00:00,2026-07-31,stake10,-25.81000000000001,390.0,-0.0661794871794872,1943764169
2026-07-31T06:50:55.692565+00:00,2026-07-31,stake10,-35.78000000000001,400.0,-0.08945000000000002,1944070635
2026-07-31T06:52:11.139942+00:00,2026-07-31,stake10,-40.78000000000001,410.0,-0.09946341463414636,1944073458
2026-07-31T07:10:16.138452+00:00,2026-07-31,stake10,-50.74000000000001,420.0,-0.12080952380952382,1944107326
2026-07-31T07:55:50.794740+00:00,2026-07-31,stake10,-42.53000000000001,430.0,-0.09890697674418607,1944200090
2026-07-31T08:08:26.607422+00:00,2026-07-31,stake10,-34.07000000000001,440.0,-0.0774318181818182,1944224455
2026-07-31T08:35:30.814220+00:00,2026-07-31,stake10,-24.28000000000001,450.0,-0.053955555555555576,1944274539
2026-07-31T08:39:35.818529+00:00,2026-07-31,stake10,-34.27000000000001,460.0,-0.07450000000000002,1944282514
2026-07-31T08:39:41.009783+00:00,2026-07-31,stake10,-44.22000000000001,470.0,-0.09408510638297875,1944282834
2026-07-31T08:40:49.577917+00:00,2026-07-31,stake10,-35.570000000000014,480.0,-0.0741041666666667,1944284968
2026-07-31T08:57:44.794772+00:00,2026-07-31,stake10,-45.56000000000002,490.0,-0.09297959183673472,1944320971
2026-07-31T09:13:46.483891+00:00,2026-07-31,stake10,-55.55000000000002,500.0,-0.11110000000000003,1944357831
2026-07-31T10:32:01.894481+00:00,2026-07-31,stake10,-46.18000000000002,510.0,-0.09054901960784317,1944546142
2026-07-31T11:38:14.624914+00:00,2026-07-31,stake10,-36.810000000000024,520.0,-0.07078846153846158,1944779981
2026-07-31T13:20:14.694693+00:00,2026-07-31,stake10,-32.060000000000024,530.0,-0.06049056603773589,1945088020
2026-07-31T13:22:37.480544+00:00,2026-07-31,stake10,-37.050000000000026,540.0,-0.06861111111111116,1945095375
