id,label,n,settled,open,void,friendly_n,nf_n,stake_placed,stake_resolved,pnl,roi,wr,clv5_n,clv5_mean,clv5_pos,clv5_cov,clvC_n,clvC_mean,clvC_pos,clvC_cov,roi_ci95_lo,roi_ci95_hi,roi_p_pos,clv5_ci95_lo,clv5_ci95_hi,clvC_ci95_lo,clvC_ci95_hi
stake2_early,stake2 1ª metade (< 2026-08-04),69,45,8,9,32,37,138.0,108.0,-2.9299999999999997,-0.02712962962962963,0.5333333333333333,14,-0.8658489446919755,0.14285714285714285,0.2028985507246377,12,-3.5797891800744774,0.16666666666666666,0.17391304347826086,-0.25695652173913036,0.17540816326530614,0.371,-2.024638580882984,0.10823177523245274,-7.018753002885357,-0.03144150668325437
stake2_late,stake2 2ª metade (≥ 2026-08-04),53,33,14,3,29,24,106.0,72.0,4.2,0.058333333333333334,0.5454545454545454,29,-2.2014639833958776,0.06896551724137931,0.5471698113207547,26,-2.452916223616376,0.3076923076923077,0.49056603773584906,-0.23930555555555555,0.36406249999999996,0.6743333333333333,-2.883861713085002,-1.5684328464169124,-4.024685033070757,-0.8913410658878599
from_0731,Desde 2026-07-31 (excl. warm-up 28–30),167,120,22,15,85,82,694.0,630.0,-14.400000000000002,-0.02285714285714286,0.525,59,-1.294484871137459,0.11864406779661017,0.3532934131736527,53,-2.2681365630953283,0.32075471698113206,0.31736526946107785,-0.19653846153846152,0.14524253731343284,0.399,-1.856323663972445,-0.6961218289816474,-3.60964949325746,-0.9574739360972429
day_2026-07-28,Dia 2026-07-28,3,2,0,1,0,3,30.0,30.0,-0.4300000000000015,-0.014333333333333384,0.5,0,,,0.0,0,,,0.0,-0.9970000000000001,0.954,0.24233333333333335,,,,
day_2026-07-29,Dia 2026-07-29,24,22,0,2,17,7,240.0,240.0,-3.3700000000000028,-0.014041666666666678,0.5454545454545454,2,-0.11569375659657433,0.5,0.08333333333333333,2,1.44211034923577,1.0,0.08333333333333333,-0.3040454545454545,0.2811904761904762,0.44633333333333336,-0.6391347099311662,0.4077471967380175,0.4077471967380175,2.4764735017335227
day_2026-07-30,Dia 2026-07-30,14,14,0,0,7,7,140.0,140.0,-12.020000000000003,-0.08585714285714288,0.5,5,-2.4431270619819156,0.2,0.35714285714285715,7,-3.7769523805702323,0.0,0.5,-0.5115,0.36993333333333334,0.3496666666666667,-5.563446382926904,-0.16123595229795784,-7.198392002104453,-1.1702744508195084
day_2026-07-31,Dia 2026-07-31,31,29,0,2,15,16,310.0,310.0,4.760000000000001,0.015354838709677422,0.5172413793103449,13,0.1177930233073093,0.23076923076923078,0.41935483870967744,11,-1.0196492110251896,0.5454545454545454,0.3548387096774194,-0.24628,0.29103333333333337,0.558,-1.139644888385264,1.5305185434064246,-3.83687038039123,1.6534043409440626
day_2026-08-01,Dia 2026-08-01,45,34,0,6,24,21,202.0,192.0,-29.69,-0.15463541666666666,0.4411764705882353,6,0.06274902849877269,0.16666666666666666,0.13333333333333333,8,-2.1994230012862204,0.25,0.17777777777777778,-0.5298924731182796,0.19874999999999995,0.17066666666666666,-0.7930795607312876,1.2264511919541143,-6.444382053976484,1.8418452621391825
day_2026-08-02,Dia 2026-08-02,21,18,0,3,12,9,42.0,42.0,0.060000000000000164,0.0014285714285714325,0.5555555555555556,5,-2.073031157496239,0.2,0.23809523809523808,5,-1.637779151709089,0.2,0.23809523809523808,-0.28,0.2965,0.506,-4.474215427160074,-0.07651292707090196,-6.110196395504895,4.504889689358024
day_2026-08-03,Dia 2026-08-03,10,3,6,0,1,9,20.0,6.0,5.09,0.8483333333333333,1.0,4,-0.8730316607966193,0.0,0.4,2,-6.494147216150059,0.0,0.2,0.81,0.88,1.0,-1.2949879729504898,-0.4510753486427488,-11.226415094339636,-1.7618793379604814
day_2026-08-04,Dia 2026-08-04,19,12,2,4,8,11,38.0,32.0,4.77,0.1490625,0.6666666666666666,8,-1.423633616073007,0.125,0.42105263157894735,9,-2.2310341707727166,0.2222222222222222,0.47368421052631576,-0.3495454545454546,0.6596428571428571,0.777,-2.389822963187112,-0.5273185405927929,-4.6351457573512755,-0.03554408449523031
day_2026-08-05,Dia 2026-08-05,11,11,0,0,8,3,22.0,22.0,-4.76,-0.21636363636363634,0.36363636363636365,7,-2.7017785401268184,0.14285714285714285,0.6363636363636364,5,-4.197775274935848,0.2,0.45454545454545453,-0.6849999999999999,0.31416666666666665,0.20866666666666667,-3.8468100711778783,-1.4370209528322448,-6.3728181076029,-1.8239598278335702
day_2026-08-06,Dia 2026-08-06,17,12,3,0,10,7,34.0,24.0,7.36,0.3066666666666667,0.6666666666666666,8,-1.8878897937466708,0.0,0.47058823529411764,11,-2.3584539128799813,0.45454545454545453,0.6470588235294118,-0.06124999999999999,0.7538888888888889,0.9483333333333334,-3.681286576559148,-0.5197868117583715,-5.379107924679082,0.5937056969890059
day_2026-08-07,Dia 2026-08-07,13,1,11,0,7,6,26.0,2.0,-1.99,-0.995,0.0,8,-2.3775614226231143,0.0,0.6153846153846154,2,-1.6056726841632507,0.0,0.15384615384615385,-0.995,-0.995,0.0,-3.4421226419507662,-1.3935036829343772,-1.7728797316722722,-1.4384656366542292
